id_arco;interseccion;calle_principal;sentido;desde_interseccion;hasta_interseccion;largo;id_nodo1_id;id_nodo2_id
1;6;Avenida Campos de Deportes;NS;Irarrázaval;Dublé Almeyda;180;1;5
2;11;Avenida Campos de Deportes;NS;Dublé Almeyda;José Domingo Cañas;161;5;2
3;16;Avenida Campos de Deportes;NS;José Domingo Cañas;Eduardo Castillo Velasco;161;2;4
4;16;Avenida Campos de Deportes;SN;Grecia;Eduardo Castillo Velasco;457;3;4
5;11;Avenida Campos de Deportes;SN;Eduardo Castillo Velasco;José Domingo Cañas;161;4;2
6;6;Avenida Campos de Deportes;SN;José Domingo Cañas;Dublé Almeyda;145;2;5
7;1;Avenida Campos de Deportes;SN;Dublé Almeyda;Irarrázaval;180;5;1
8;6;Dublé Almeyda;PO;Monseñor Eyzaguirre;Avenida Campos de Deportes;434;6;5
9;7;Dublé Almeyda;PO;Avenida Campos de Deportes;Pedro de Valdivia;372;5;7
10;8;Dublé Almeyda;PO;Pedro de Valdivia;Los Tres Antonios;221;7;8
11;9;Dublé Almeyda;PO;Los Tres Antonios;Exequiel Fernández;250;8;34
12;10;Dublé Almeyda;PO;Exequiel Fernández;José Pedro Alessandri;209;34;25
13;20;Eduardo Castillo Velasco;OP;Dr. Johow;José Pedro Alessandri;393;9;10
14;19;Eduardo Castillo Velasco;OP;José Pedro Alessandri;Exequiel Fernández;265;10;35
15;18;Eduardo Castillo Velasco;OP;Exequiel Fernández;Los Tres Antonios;209;35;11
16;17;Eduardo Castillo Velasco;OP;Los Tres Antonios;Pedro de Valdivia;222;11;12
17;16;Eduardo Castillo Velasco;OP;Pedro de Valdivia;Avenida Campos de Deportes;374;12;4
18;4;Exequiel Fernández;NS;Capitán Orella;Irarrázaval;257;13;14
19;9;Exequiel Fernández;NS;Irarrázaval;Dublé Almeyda;188;14;34
20;14;Exequiel Fernández;NS;Dublé Almeyda;José Domingo Cañas;150;34;15
21;19;Exequiel Fernández;NS;José Domingo Cañas;Eduardo Castillo Velasco;150;15;35
22;5;Irarrázaval;OP;Holanda;José Pedro Alessandri;170;33;16
23;4;Irarrázaval;OP;José Pedro Alessandri;Exequiel Fernández;185;16;14
24;3;Irarrázaval;OP;Exequiel Fernández;Los Tres Antonios;173;14;17
25;2;Irarrázaval;OP;Los Tres Antonios;Pedro de Valdivia;273;17;18
26;1;Irarrázaval;OP;Pedro de Valdivia;Avenida Campos de Deportes;373;18;1
27;1;Irarrázaval;PO;Manuel Montt;Avenida Campos de Deportes;349;19;1
28;2;Irarrázaval;PO;Avenida Campos de Deportes;Pedro de Valdivia;366;1;18
29;3;Irarrázaval;PO;Pedro de Valdivia;Los Tres Antonios;229;18;17
30;4;Irarrázaval;PO;Los Tres Antonios;Exequiel Fernández;243;17;14
31;5;Irarrázaval;PO;Exequiel Fernández;José Pedro Alessandri;185;14;16
32;5;José Pedro Alessandri;NS;Cervantes;Irarrázaval;217;20;16
33;10;José Pedro Alessandri;NS;Irarrázaval;Dublé Almeyda;150;16;25
34;15;José Pedro Alessandri;NS;Dublé Almeyda;José Domingo Cañas;179;25;21
35;20;José Pedro Alessandri;NS;José Domingo Cañas;Eduardo Castillo Velasco;132;21;10
