main_street;id_arco;sense;from_intersection;to_intersection;Interseccion;day_name;hora;Nivel
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;6:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;6:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;7:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;7:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;7:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;7:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;8:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;8:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;8:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;8:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;9:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;9:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;9:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;9:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;10:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;10:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;10:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;10:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;11:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;11:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;11:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;11:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;12:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;12:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;12:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;12:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;13:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;13:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;13:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;13:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;14:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;14:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;14:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;14:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;15:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;15:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;15:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;15:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;16:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;16:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;16:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;16:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;17:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;17:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;17:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;17:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;18:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;18:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;18:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;18:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;19:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;19:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;19:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;19:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;20:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;20:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;20:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;20:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;21:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;21:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;21:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Monday;21:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;6:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;6:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;7:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;7:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;7:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;7:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;8:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;8:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;8:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;8:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;9:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;9:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;9:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;9:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;10:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;10:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;10:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;10:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;11:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;11:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;11:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;11:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;12:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;12:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;12:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;12:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;13:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;13:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;13:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;13:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;14:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;14:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;14:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;14:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;15:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;15:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;15:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;15:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;16:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;16:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;16:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;16:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;17:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;17:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;17:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;17:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;18:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;18:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;18:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;18:45;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;19:00;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;19:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;19:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;19:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;20:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;20:15;2
