id;calle_principal;dia;hora;plan;tiempo;velocidad;tiempo_entre_largo;DCA;nivel_congestion;infeccion;id_arco_id
1;Campo de Deportes;Monday;6:30;P8;59.06;20.8;173.2;0;2;0;1
2;Campo de Deportes;Monday;6:45;P8;68.18;18.01;199.9;9.9;3;0;1
3;Campo de Deportes;Monday;7:00;P31;68.14;18.02;199.8;9.8;3;0;1
4;Campo de Deportes;Monday;7:15;P31;62.93;19.51;184.6;0;2;0;1
5;Campo de Deportes;Monday;7:30;P1;NULL;NULL;NULL;NULL;;;1
6;Campo de Deportes;Monday;7:45;P1;NULL;NULL;NULL;NULL;;;1
7;Campo de Deportes;Monday;8:00;P1;NULL;NULL;NULL;NULL;;;1
8;Campo de Deportes;Monday;8:15;P1;NULL;NULL;NULL;NULL;;;1
9;Campo de Deportes;Monday;8:30;P1;NULL;NULL;NULL;NULL;;;1
10;Campo de Deportes;Monday;8:45;P1;NULL;NULL;NULL;NULL;;;1
11;Campo de Deportes;Monday;9:00;P2;NULL;NULL;NULL;NULL;;;1
12;Campo de Deportes;Monday;9:15;P2;NULL;NULL;NULL;NULL;;;1
13;Campo de Deportes;Monday;9:30;P2;NULL;NULL;NULL;NULL;;;1
14;Campo de Deportes;Monday;9:45;P2;NULL;NULL;NULL;NULL;;;1
15;Campo de Deportes;Monday;10:00;P31;69;17.79;202.3;12.3;3;0;1
16;Campo de Deportes;Monday;10:15;P31;53.83;22.8;157.9;0;2;0;1
17;Campo de Deportes;Monday;10:30;P31;66.56;18.44;195.2;5.2;3;0;1
18;Campo de Deportes;Monday;10:45;P31;73.4;16.72;215.2;25.2;3;0;1
19;Campo de Deportes;Monday;11:00;P31;73.43;16.72;215.3;25.3;3;0;1
20;Campo de Deportes;Monday;11:15;P31;62.88;19.52;184.4;0;2;0;1
21;Campo de Deportes;Monday;11:30;P31;67;18.32;196.5;6.5;3;0;1
22;Campo de Deportes;Monday;11:45;P31;62.47;19.65;183.2;0;2;0;1
23;Campo de Deportes;Monday;12:00;P31;67.15;18.28;196.9;6.9;3;0;1
24;Campo de Deportes;Monday;12:15;P31;72.59;16.91;212.9;22.9;3;0;1
25;Campo de Deportes;Monday;12:30;P31;64.2;19.12;188.3;0;2;0;1
26;Campo de Deportes;Monday;12:45;P31;67.21;18.26;197.1;7.1;3;0;1
27;Campo de Deportes;Monday;13:00;P31;78.57;15.62;230.4;40.4;3;0;1
28;Campo de Deportes;Monday;13:15;P31;72;17.05;211.1;21.1;3;0;1
29;Campo de Deportes;Monday;13:30;P31;77.6;15.82;227.6;37.6;3;0;1
30;Campo de Deportes;Monday;13:45;P31;64.53;19.02;189.2;0;2;0;1
31;Campo de Deportes;Monday;14:00;P31;53.67;22.87;157.4;0;2;0;1
32;Campo de Deportes;Monday;14:15;P31;59.6;20.6;174.8;0;2;0;1
33;Campo de Deportes;Monday;14:30;P31;68.93;17.81;202.1;12.1;3;0;1
34;Campo de Deportes;Monday;14:45;P31;67.71;18.13;198.6;8.6;3;0;1
35;Campo de Deportes;Monday;15:00;P31;55.64;22.06;163.2;0;2;0;1
36;Campo de Deportes;Monday;15:15;P31;66.14;18.56;194;4;3;0;1
37;Campo de Deportes;Monday;15:30;P31;65.88;18.63;193.2;3.2;3;0;1
38;Campo de Deportes;Monday;15:45;P31;71.67;17.13;210.2;20.2;3;0;1
39;Campo de Deportes;Monday;16:00;P31;59.38;20.67;174.1;0;2;0;1
